ID,film,release_date,budget,box_office_us_canada,box_office_other,box_office_worldwide,rotten_tomatoes_score,imdb_score
1,Toy Story,22-Nov-95,30000000,223225679,171210907,394436586,100,8.3
2,A Bug's Life,25-Nov-98,120000000,162798565,200460294,363258859,92,7.2
3,Toy Story 2,24-Nov-99,90000000,245852179,265506097,511358276,100,7.9
4,"Monsters, Inc.",2-Nov-01,115000000,255873250,272900000,528773250,96,8.1
5,Finding Nemo,30-May-03,94000000,339714978,531300000,871014978,99,8.2
6,The Incredibles,5-Nov-04,92000000,261441092,370001000,631442092,97,8
7,Cars,9-Jun-06,120000000,244082982,217900167,461983149,75,7.2
8,Ratatouille,29-Jun-07,150000000,206445654,417280431,623726085,96,8.1
9,WALL-E,27-Jun-08,180000000,223808164,297503696,521311860,95,8.4
10,Up,29-May-09,175000000,293004164,442094918,735099082,98,8.3
11,Toy Story 3,18-Jun-10,200000000,415004880,651964823,1066969703,98,8.3
12,Cars 2,24-Jun-11,200000000,191452396,368400000,559852396,40,6.2
13,Brave,22-Jun-12,185000000,237283207,301700000,538983207,79,7.1
14,Monsters University,21-Jun-13,200000000,268492764,475066843,743559607,80,7.2
15,Inside Out,19-Jun-15,175000000,356461711,501149463,857611174,98,8.1
16,The Good Dinosaur,25-Nov-15,175000000,123087120,209120551,332207671,75,6.7
17,Finding Dory,17-Jun-16,200000000,486295561,542275328,1028570889,94,7.2
18,Cars 3,16-Jun-17,175000000,152901115,231029541,383930656,69,6.7
19,Coco,22-Nov-17,175000000,210460015,604181157,814641172,97,8.4
20,Incredibles 2,15-Jun-18,200000000,608581744,634223615,1242805359,93,7.5
21,Toy Story 4,21-Jun-19,200000000,434038008,639356585,1073394593,97,7.6
22,Onward,6-Mar-20,175000000,61555145,80384897,141940042,88,7.4
23,Soul,25-Dec-20,150000000,946154,120957731,121903885,95,8
24,Luca,18-Jun-21,0,1324302,49788012,51112314,91,7.4
25,Turning Red,11-Mar-22,175000000,1399001,20414357,21813358,95,7
26,Lightyear,17-Jun-22,200000000,118307188,108118232,226425420,74,6.1
27,Elemental,16-Jun-23,200000000,154426697,342017611,496444308,73,7
28,Inside Out 2,14-Jun-24,200000000,652980194,1045050771,1698030965,90,7.6
